id;fee_id;subproduct_id;document_id;name;amount;category;tax;tax_amount;tax_category;status
;Depositing a check to receive cash;Standard Account (doesn't admit new hirings);;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Future Account;;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Kids Account;;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Global Account;;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Basic Account;;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Private Account;;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Value Account;;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Smart Account;;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;Minimal Bank Services Account;;placeholder - abanca;0;;;;;
;Depositing a check to receive cash;ABANCA International Account;;placeholder - abanca;0;;;;;
;Cash withdrawal at the counter without check presentation;Private Demand Deposit Account (Avg Balance <1000€);;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Private Demand Deposit Account (Avg Balance <1000-2500€);;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Private Demand Deposit Account (Avg Balance >2500€);;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Bank Account with Direct Deposit Enabled;;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Standard Account (doesn't admit new hirings);;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Future Account;;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Kids Account;;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Global Account;;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Basic Account;;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Private Account;;placeholder - abanca;3,50 ;;;;;
;Cash withdrawal at the counter without check presentation;Value Account;;placeholder - abanca;3,50 ;;;;;
